GeneSymbol	studyB_case01	studyB_case02	studyB_case03	studyB_case04	studyB_case05	studyB_case06	studyB_ctrl01	studyB_ctrl02	studyB_ctrl03	studyB_ctrl04	studyB_ctrl05	studyB_ctrl06	studyB_ctrl07
SYNTH0282	10.8750	9.9944	9.5450	10.9564	10.5603	9.5450	10.2070	8.9248	9.4030	9.0553	7.7142	9.0607	8.9687
SYNTH0283	7.7682	7.9887	6.8580	7.1085	7.9307	7.9887	6.7415	7.3837	8.4471	7.6653	6.9773	7.5469	7.2668
SYNTH0284	7.8642	7.5392	6.2288	6.9425	7.5699	6.3576	6.1085	7.2384	6.8948	7.6795	7.9600	6.8948	7.4676
SYNTH0285	4.8580	4.3923	3.5850	3.9069	4.3219	4.0000	4.8580	3.4594	3.5850	2.0000	4.5850	4.0000	4.8580
SYNTH0286	4.9542	5.0875	5.0000	3.8074	3.9069	3.7004	5.3576	4.9542	4.2479	4.7004	5.4594	5.3923	5.1293
SYNTH0287	6.0224	5.5236	6.3576	5.0875	5.5236	4.7549	5.8074	5.1699	4.5236	5.5850	5.5546	5.4594	4.5236
SYNTH0288	2.3219	4.3923	4.0875	3.5850	2.8074	3.9069	1.5850	3.5850	2.5850	NA	NA	1.0000	4.3923
SYNTH0289	6.7549	6.8455	7.6935	6.9542	6.2479	7.2854	7.5157	6.5546	6.3219	7.3487	6.8948	6.0224	6.8455
SYNTH0290	6.3923	7.0661	7.5157	7.1599	6.5546	7.1599	6.0875	6.0000	6.5236	6.1497	6.5236	5.9542	6.7142
SYNTH0291	8.1599	6.7415	7.5699	8.7748	7.1293	8.5314	7.5078	8.3219	8.0279	8.1799	7.9189	8.5196	8.0553
SYNTH0292	5.2854	6.8329	7.2479	6.1898	6.3576	7.2854	6.3219	5.9542	6.8329	5.2479	6.7415	7.3129	6.0875
SYNTH0293	3.3219	2.5850	4.0875	2.8074	3.3219	4.0875	4.6439	3.4594	4.0000	4.0000	4.3219	3.4594	3.9069
SYNTH0294	7.8265	6.7814	7.8826	7.3129	8.0056	8.6257	7.8517	8.1085	7.1396	7.7004	7.7415	5.6724	8.5546
SYNTH0295	7.9425	8.1447	8.3083	6.8948	7.9484	7.6366	8.6511	8.3219	9.0279	9.8281	10.0768	8.8765	8.8918
SYNTH0296	4.3923	3.0000	4.0875	3.4594	3.1699	3.4594	3.3219	5.0875	2.8074	3.3219	4.3219	3.8074	3.0000
SYNTH0297	8.3837	8.6546	9.5774	7.6366	9.1573	7.7549	8.6036	8.8455	9.1674	9.3264	9.4179	9.3487	9.5137
SYNTH0298	6.8704	7.1085	7.0661	7.1898	7.5622	7.0000	6.0875	7.2288	7.5850	6.9307	6.4919	7.6439	7.8826
SYNTH0299	5.0875	6.6724	NA	5.8329	6.0875	5.9307	6.4263	6.4094	6.3219	6.4594	6.6147	7.1396	5.7004
SYNTH0300	4.0875	4.0875	4.5236	5.2095	2.5850	3.9069	4.3923	5.0000	5.2854	5.1699	4.6439	1.5850	3.9069
SYNTH0301	8.8918	8.1898	9.7262	8.6653	9.6330	9.7296	8.5812	8.9189	NA	9.2597	8.6402	8.9396	8.6511
SYNTH0302	4.2479	6.0444	5.6147	4.5236	4.7549	3.8074	6.0875	5.8074	4.3219	4.9542	4.8580	5.0444	5.2095
SYNTH0303	5.0444	6.1293	4.9542	4.7549	3.9069	5.8826	4.3923	4.0000	4.4594	3.9069	5.4594	4.0000	4.8580
SYNTH0304	6.2095	6.6439	NA	6.7944	7.2668	5.9069	5.4263	6.9425	5.4594	4.9069	5.9773	6.0661	4.5850
SYNTH0305	9.6546	9.6294	8.6439	8.7448	9.0168	9.4533	8.1033	7.2288	9.4388	9.3038	8.1293	8.2621	8.8704
SYNTH0306	NA	10.6961	9.3772	9.1396	8.7582	9.7665	8.6110	8.7515	8.0980	9.7415	9.3038	9.8122	10.5028
SYNTH0307	3.4594	3.4594	4.0000	4.0875	3.1699	3.1699	3.7004	4.0000	4.0875	2.3219	3.4594	1.5850	3.1699
SYNTH0308	6.2668	5.5236	5.9773	5.9542	6.4094	6.3750	5.4594	7.1396	6.3038	6.5078	7.0768	6.2288	6.0000
SYNTH0309	9.4073	7.8948	8.4051	10.3129	8.4594	8.7004	9.7279	7.5622	10.3608	8.3129	9.4798	9.1849	8.4263
SYNTH0310	8.5546	9.1624	8.4919	8.3174	8.5314	6.7415	9.3151	8.9129	7.8265	8.7879	8.2479	9.4200	8.7039
SYNTH0311	5.5236	NA	4.9069	6.3576	5.6724	NA	6.3038	5.9773	5.1699	7.2095	6.4094	6.3399	5.7549
SYNTH0312	7.9944	8.0768	7.3487	7.3923	7.1396	7.6147	8.3966	8.0768	7.8948	8.4094	8.3038	6.9658	8.5661
SYNTH0313	9.6689	9.0821	7.7279	9.8642	7.8580	9.2946	7.6221	7.5392	9.4242	6.9425	8.6294	10.0140	8.4717
SYNTH0314	8.8297	7.1599	7.2288	6.2288	5.6724	7.4594	8.7715	8.6110	8.9484	9.0417	8.6653	8.7347	9.6294
SYNTH0315	5.4594	4.7549	3.8074	3.0000	5.7279	5.0444	6.0661	5.3219	5.7004	4.9542	4.6439	4.9069	5.4919
SYNTH0316	5.4594	4.3219	5.2095	6.5850	6.2668	7.1497	5.0000	6.4263	6.6439	6.3576	5.0875	5.2479	6.5999
SYNTH0317	4.8074	3.5850	4.4594	5.0444	4.8074	5.3576	4.8074	5.4594	5.0000	4.0000	5.0444	5.0875	4.7004
SYNTH0318	4.0875	6.8704	5.2479	6.1699	6.4757	6.2288	6.1497	6.3399	6.4919	6.7279	6.9887	NA	5.0000
SYNTH0319	3.7004	4.6439	5.4263	4.1699	4.2479	4.7004	4.1699	4.0000	5.4594	3.7004	3.0000	2.8074	3.5850
SYNTH0320	6.8948	8.0980	7.3576	6.6865	7.5078	7.4009	5.2095	6.3576	7.8455	7.7074	7.4838	6.8202	8.2095
SYNTH0321	8.2046	9.2621	7.8948	8.5661	8.8361	8.4388	9.0112	9.2715	8.6402	8.5430	8.7482	8.5118	8.8106
SYNTH0322	7.7616	7.4998	7.2668	7.9307	6.9542	7.7549	6.8704	6.5999	7.7549	8.0389	6.0661	6.7944	6.5999
SYNTH0323	4.1699	3.8074	5.7549	4.1699	4.5236	4.9069	5.4263	3.9069	4.0000	4.6439	3.8074	5.0875	4.0000
SYNTH0324	7.9773	7.6724	8.2479	8.8549	7.8455	6.2479	8.1948	8.1799	7.8265	7.7211	8.6795	7.8074	7.5236
SYNTH0325	4.4594	6.2095	6.2479	4.9542	6.6439	5.7279	6.4919	6.4594	6.3399	6.2479	6.8329	6.0000	5.5546
SYNTH0326	3.4594	5.2095	4.3923	4.8074	4.9542	5.0875	5.0000	6.9069	6.4594	6.5236	5.7279	7.0000	6.8455
SYNTH0327	9.8439	9.2070	9.1396	9.9084	8.0715	9.6742	9.9410	9.5157	9.2831	8.7245	8.9858	9.7313	9.2432
SYNTH0328	6.1497	6.5699	5.2854	5.9069	5.8580	5.8329	6.3399	6.3399	6.3399	6.1085	6.3576	5.5546	4.7004
SYNTH0329	4.1699	5.2479	4.3219	3.3219	4.0875	4.1699	3.4594	3.8074	3.7004	4.2479	3.3219	4.1699	4.2479
SYNTH0330	9.1874	8.8611	8.1849	7.6439	7.9484	8.2479	9.2644	8.8887	8.8826	8.1997	8.4798	9.0334	8.7582
SYNTH0331	6.4094	3.8074	4.9542	6.4429	5.8329	5.8329	6.2479	5.5546	5.6439	5.1699	6.4757	5.9773	5.7279
SYNTH0332	8.3174	8.2143	8.4009	10.0458	9.3663	8.4305	9.7381	9.4409	9.5216	10.6357	8.9513	10.3443	9.9366
SYNTH0333	7.8642	7.1898	6.8704	7.7616	7.0224	7.9425	7.9425	7.2384	8.1085	7.6795	8.0056	8.1293	6.2288
SYNTH0334	10.5078	9.7177	9.9527	8.6221	9.0498	10.6147	8.5850	7.7549	8.7649	7.9542	8.1649	7.0334	7.6795
SYNTH0335	5.4263	4.1699	5.3923	6.2095	5.7549	6.2288	5.4263	5.2479	6.4594	5.2479	4.3219	5.2095	5.4263
SYNTH0336	2.0000	1.0000	1.5850	2.5850	3.1699	2.0000	3.0000	3.4594	4.0000	2.0000	4.5236	4.0875	4.2479
SYNTH0337	5.1699	6.0000	6.4429	6.5392	4.4594	5.6724	5.8329	6.4757	6.1085	6.4429	6.7004	6.5392	5.6724
SYNTH0338	6.7142	6.5699	7.3487	6.4919	7.1997	6.3219	6.8455	7.5774	7.0980	7.1699	6.8580	6.8455	7.4179
SYNTH0339	6.4594	5.5850	4.6439	5.5236	NA	6.1497	5.2854	6.0224	6.0661	6.1085	5.5236	6.5392	5.3576
SYNTH0340	7.5850	8.0112	7.1497	7.9715	7.4009	8.0279	8.2574	7.3837	7.5925	7.6294	6.9069	7.4429	6.4757
SYNTH0341	6.0000	5.2095	5.5546	6.6294	6.1085	5.5236	5.0875	6.1898	5.9307	7.0553	6.1085	6.3399	6.8329
SYNTH0342	7.7549	8.8106	8.4221	7.3038	8.3264	7.2095	7.2854	8.2668	7.9307	8.6511	7.5925	7.8948	8.6439
SYNTH0343	6.4594	5.0875	5.8826	5.2095	6.2479	4.9069	4.9069	3.0000	5.2479	3.9069	3.3219	3.4594	4.6439
SYNTH0344	3.8074	4.3923	4.0000	3.5850	3.4594	3.3219	3.5850	4.5236	4.3219	4.1699	3.5850	3.4594	4.9542
SYNTH0345	8.8826	9.1137	9.7846	9.5177	7.9189	9.3061	8.3923	8.6653	6.9887	8.9009	8.8170	8.9189	9.3597
SYNTH0346	4.7549	3.1699	5.0000	3.0000	3.8074	3.4594	5.6439	4.7004	4.3219	3.3219	2.3219	4.6439	4.8074
SYNTH0347	5.5850	5.0444	4.5236	4.5236	4.3219	4.5850	5.8329	3.9069	3.8074	5.6439	4.3923	5.0875	3.9069
SYNTH0348	5.2854	5.3576	5.3219	4.4594	4.8074	4.5236	6.4263	5.7814	5.7549	4.6439	6.4263	6.8455	5.4263
SYNTH0349	8.0821	9.2946	8.0768	9.4998	9.7912	8.3750	8.6795	8.4263	8.6475	7.4346	8.7515	8.7279	8.5546
SYNTH0350	9.4898	8.7682	7.6221	8.6653	8.5469	9.6582	8.6795	8.9687	8.4553	10.2432	8.4757	8.7977	9.4263
SYNTH0351	5.0000	3.3219	4.4594	3.8074	2.5850	3.8074	4.5236	2.3219	4.0000	3.7004	4.1699	5.2095	3.0000
SYNTH0352	8.2854	7.5392	9.3554	8.6402	7.7814	7.4512	7.5850	7.4009	8.7616	8.0112	7.3399	7.8826	8.0980
SYNTH0353	9.6421	10.1611	9.4367	9.8796	8.5546	9.9009	8.6366	9.1997	9.0741	8.3038	9.1923	8.9571	10.0224
SYNTH0354	2.3219	5.2479	4.3923	4.6439	4.5850	3.1699	3.3219	4.0875	4.8580	3.7004	4.4594	4.7004	4.7004
SYNTH0355	6.7814	7.0553	7.0553	8.0224	6.5850	5.5850	6.7142	7.3837	6.6439	6.2288	6.9658	5.1699	6.5236
SYNTH0356	8.8202	9.0279	7.8517	7.6147	9.2900	8.3794	7.2854	8.4136	8.1447	7.8887	7.3487	8.5236	7.5699
SYNTH0357	7.5157	9.4939	8.8765	8.3837	8.8642	9.0661	9.6653	10.2586	9.0875	9.7160	9.9322	8.9454	9.1370
SYNTH0358	8.5812	8.9773	7.9944	7.3399	7.6653	8.1241	8.0928	8.4919	8.3174	8.0553	7.3219	7.7004	7.5078
SYNTH0359	7.2668	6.8455	6.6439	6.2095	6.0661	5.9307	5.9307	7.1799	6.9542	5.4594	6.9887	6.2288	7.0768
SYNTH0360	8.7142	9.3880	8.6402	9.9687	9.5999	8.3750	9.5137	9.2192	9.0901	9.0661	9.3750	9.7993	9.8918
SYNTH0361	6.4594	5.8580	5.8580	5.5546	5.4919	5.7004	5.3576	4.3923	4.4594	5.1293	5.2854	5.7549	6.1293
SYNTH0362	7.1497	7.6221	5.8580	7.0661	7.4346	7.9600	7.0980	7.5546	7.0000	5.2479	7.2095	6.4919	6.6147
SYNTH0363	8.1599	8.4094	6.3750	8.1447	8.1293	8.0875	8.0661	8.4998	NA	7.7415	9.0795	8.3487	7.9069
SYNTH0364	8.1699	8.3837	8.8297	8.7944	8.9513	9.1370	8.7004	8.5157	9.0741	8.6294	8.2046	8.9248	9.1370
SYNTH0365	3.0000	3.0000	3.0000	3.8074	2.5850	2.5850	2.0000	3.0000	3.4594	3.5850	3.5850	4.0000	3.9069
SYNTH0366	9.8057	9.7830	9.0928	9.2456	8.8234	8.2479	8.7582	9.7532	8.7582	8.0000	10.1344	9.6073	8.7211
SYNTH0367	7.9069	9.0000	8.4838	9.4574	8.1799	8.0715	9.4491	8.4838	8.4798	8.4717	7.9600	9.7482	9.1774
SYNTH0368	5.0444	4.6439	5.3576	4.2479	4.0000	4.0000	4.5236	4.8580	4.0875	3.0000	3.9069	4.5850	4.7549
SYNTH0369	3.4594	4.8580	3.9069	3.5850	4.4594	3.0000	3.1699	5.0000	3.3219	3.5850	4.0000	3.9069	3.0000
SYNTH0370	6.4757	6.8202	5.7004	6.3923	6.2668	6.3923	5.6147	7.1085	5.0000	7.4757	6.7142	7.0112	6.2854
SYNTH0371	7.7814	7.5546	8.5999	8.5430	8.0279	7.0224	7.2761	NA	6.8455	8.4757	8.0224	7.1085	7.7482
SYNTH0372	5.9069	4.4594	3.9069	4.0875	4.3219	4.4594	4.7549	3.9069	4.5236	4.4594	4.0875	4.0875	4.7004
SYNTH0373	5.2854	5.3219	5.4263	4.7549	5.2854	4.7004	5.5546	5.5236	5.1293	5.3576	4.4594	4.5236	4.7549
SYNTH0374	2.8074	4.0875	1.5850	3.7004	2.8074	2.5850	1.5850	3.9069	3.5850	3.8074	2.8074	4.0875	4.4594
SYNTH0375	5.1699	3.7004	5.3576	4.8580	5.3576	6.3219	4.5236	5.7549	4.7004	4.7004	4.2479	6.1497	5.2854
SYNTH0376	4.8580	5.6439	5.5236	4.6439	4.7549	4.3219	4.0000	4.2479	4.6439	5.0444	5.1699	4.6439	NA
SYNTH0377	7.3399	7.4179	8.6653	8.6582	7.5236	8.4136	7.2946	8.0821	7.9658	7.7415	8.5699	8.0875	7.8948
SYNTH0378	6.1085	5.1699	4.2479	6.1293	5.2854	4.9542	5.3923	4.3923	5.2854	4.2479	4.3219	3.0000	4.5236
SYNTH0379	6.0661	5.8580	6.5999	7.1799	6.1085	5.5236	7.1293	5.5850	6.6724	6.0224	7.0553	6.9307	5.8074
SYNTH0380	6.1898	5.7549	4.8074	6.5078	6.0224	5.8074	5.9069	NA	5.9542	5.9773	6.6294	6.0000	6.1293
SYNTH0381	6.9658	6.9887	8.3707	7.1396	7.6147	8.0168	7.3923	6.2854	7.9189	6.9773	7.0875	7.2854	7.3038
SYNTH0382	3.9069	4.7549	4.5236	4.8074	4.4594	4.6439	4.0000	5.1699	4.5236	3.7004	4.3923	4.5850	3.1699
SYNTH0383	7.3309	6.5999	6.6147	7.1293	7.6865	6.5078	7.3219	6.9307	6.1699	5.0444	7.6294	7.4838	8.3966
SYNTH0384	5.0444	8.2715	8.2854	6.8704	8.1344	6.3576	6.2288	7.0112	7.6795	5.9773	6.5999	7.5925	6.6582
SYNTH0385	4.8074	5.1699	6.1898	5.3923	5.3923	6.1497	5.7814	5.0875	5.0875	5.9307	6.3923	5.8580	5.1293
SYNTH0386	8.8297	7.7814	8.4179	8.2336	9.2621	8.2854	9.3376	8.0224	8.7039	8.5925	8.5774	8.3309	9.4656
SYNTH0387	6.0444	6.6724	6.4757	6.8704	4.7004	6.2854	8.1033	7.4998	6.4594	7.2192	8.0389	7.2854	7.5925
SYNTH0388	4.1699	4.0000	4.4594	4.6439	4.2479	4.7549	2.0000	4.3923	3.8074	3.8074	3.9069	4.2479	3.9069
SYNTH0389	3.4594	2.3219	3.4594	4.5850	3.1699	NA	4.8580	4.9542	4.9542	5.9069	4.2479	3.1699	3.8074
SYNTH0390	7.3219	7.7415	7.0661	7.2288	6.2095	7.0334	6.9307	6.5078	6.1497	6.7142	7.0553	7.5236	6.4263
SYNTH0391	4.7004	6.2854	5.9069	6.4263	6.2668	6.1699	6.9425	7.0875	7.8074	7.8580	7.2574	8.0334	6.8202
SYNTH0392	5.7004	6.0875	4.7549	5.9069	6.1293	5.6147	5.0444	5.2479	5.9069	6.3038	5.6724	6.7279	NA
SYNTH0393	4.1699	4.2479	3.5850	4.0875	4.5236	5.2095	4.3923	4.0000	5.0875	5.6439	4.4594	5.2479	3.8074
SYNTH0394	8.7177	8.3531	6.7944	8.2992	8.4676	8.3880	8.7814	7.6147	8.1849	8.4998	8.4305	NA	8.3443
SYNTH0395	7.1085	6.3038	7.3923	7.9129	7.4429	7.4512	7.9366	8.1241	8.1599	7.7616	8.6184	8.3966	8.0768
SYNTH0396	8.6257	8.4676	8.7381	8.4838	9.4696	7.9425	9.4388	8.3794	8.2288	8.6653	7.6221	8.9396	8.9773
SYNTH0397	4.2479	4.0875	6.0444	5.0875	5.4594	5.8580	6.0224	5.0000	5.7549	5.8826	4.1699	5.4919	6.3219
SYNTH0398	4.7004	4.6439	3.0000	3.8074	4.2479	5.3923	4.3923	4.5850	4.9069	2.5850	4.0000	4.4594	4.9069
SYNTH0399	5.8329	6.1898	6.2668	6.7142	6.7682	6.2479	6.8455	5.7814	6.6865	6.3750	4.8074	6.2854	6.6147
SYNTH0400	8.0279	8.6221	8.1497	8.9629	8.9801	9.7125	7.7004	9.0688	8.7142	8.6865	7.9600	6.9542	8.2095
SYNTH0401	3.8074	4.7549	5.2854	4.0000	4.8580	4.3923	5.3219	5.4594	4.8580	4.3219	3.7004	5.0000	4.2479
SYNTH0402	5.9307	5.7814	6.6582	5.4263	5.4594	5.5850	6.1497	5.4263	6.1898	6.3399	4.9542	5.4919	5.2095
SYNTH0403	10.4522	9.1874	9.4656	10.7296	10.5915	10.9196	7.9009	9.5831	9.0661	8.3880	8.8265	8.2574	8.2946
SYNTH0404	9.0875	9.1674	8.0224	7.7879	7.7879	7.1396	7.7211	8.0661	6.7142	6.9069	6.9189	8.1033	8.3174
SYNTH0405	4.3219	3.3219	4.8580	4.0875	4.2479	5.6147	3.4594	3.5850	3.1699	3.7004	3.5850	4.3219	4.5850
SYNTH0406	7.5469	8.6795	8.6546	7.8580	8.0768	9.0661	8.5196	8.4717	7.8580	NA	7.8009	8.3966	8.5736
SYNTH0407	6.5546	7.3038	7.9830	7.0444	7.0224	6.2668	6.9887	6.8074	7.5699	6.3576	7.8455	7.6511	6.8826
SYNTH0408	6.2668	6.1699	4.9069	6.4757	7.9773	7.1293	6.1085	5.7004	5.6724	7.2761	6.8202	6.6294	6.8455
SYNTH0409	7.5925	6.7279	7.5314	7.0980	6.8580	6.8580	6.0661	7.4346	8.3219	6.1497	7.6147	7.2288	7.4179
SYNTH0410	6.5850	6.9189	7.5925	6.9773	7.2574	6.2288	5.6147	6.5999	6.5236	7.0334	6.2095	6.3219	6.9542
SYNTH0411	7.0000	7.6147	6.1898	5.7814	5.7004	6.3399	6.9307	5.7004	6.9542	6.4429	6.5236	6.2854	6.3576
SYNTH0412	8.6724	9.6777	8.1189	7.6439	8.5430	10.1662	8.9099	8.3354	9.3880	10.2444	8.7748	NA	9.1799
SYNTH0413	6.1497	6.7004	6.7944	6.5078	6.2668	6.3399	7.1497	7.1293	6.2095	6.8202	7.1396	7.3837	6.9307
SYNTH0414	6.8826	7.2761	7.4838	6.7944	7.9830	7.2384	7.6073	7.4594	7.1898	8.3794	7.0875	7.9069	7.2946
SYNTH0415	5.6147	6.1293	6.4919	6.9887	5.2854	6.0224	5.8580	5.7814	6.9425	6.1497	6.5699	7.3399	6.5392
SYNTH0416	8.5661	6.6865	8.0607	7.8887	8.2143	8.5430	8.5774	6.6724	7.7682	7.8765	8.1599	8.2854	8.2992
SYNTH0417	7.3487	7.3309	6.7814	6.9189	6.8074	6.0444	6.1898	7.7074	7.3038	6.7682	6.6865	6.5392	7.3219
SYNTH0418	6.7004	6.6582	7.6582	7.0553	5.6147	7.5314	6.6439	7.1997	8.1799	6.6147	NA	6.6865	7.5999
SYNTH0419	NA	4.7004	3.8074	4.3923	4.4594	3.7004	4.0875	3.5850	4.0000	1.5850	4.4594	4.0000	4.1699
SYNTH0420	3.5850	2.5850	3.1699	5.0444	5.4263	3.4594	3.4594	4.8580	4.3923	2.5850	5.4594	5.2479	4.5236
SYNTH0421	8.6582	8.1749	7.3399	6.9307	7.6147	7.4594	7.5850	6.3038	7.1396	7.3923	6.7142	8.4676	7.4512
SYNTH0422	6.3219	7.6511	6.3399	5.6147	7.2574	5.8329	7.4919	7.8202	7.7616	5.7549	8.3794	7.7682	8.8074
SYNTH0423	3.5850	4.1699	4.4594	3.9069	3.4594	3.5850	4.2479	5.3576	5.0875	5.1293	4.6439	5.6147	5.0000
SYNTH0424	8.7879	8.0056	9.1241	7.7482	7.9944	8.3619	8.6073	9.4635	8.6900	8.6760	9.0821	8.3531	8.8611
SYNTH0425	4.5850	4.3219	5.1293	4.7004	5.4263	4.1699	5.2479	4.7004	4.7549	5.1699	4.8074	5.0000	4.3923
SYNTH0426	4.7549	NA	2.5850	4.2479	4.0875	5.0875	3.4594	3.7004	4.1699	4.7004	5.0000	3.4594	4.0875
SYNTH0427	8.1241	7.9830	9.1599	9.2288	7.5314	8.0000	8.2527	7.4838	8.8765	8.9039	8.2808	9.2167	7.6439
SYNTH0428	7.9484	8.7448	8.0498	7.4346	7.5078	7.3923	7.7074	7.2574	7.8948	7.5699	7.6653	6.7944	6.1497
SYNTH0429	7.1599	6.6865	8.0928	6.7549	7.1293	8.4959	7.0444	6.3399	7.0224	7.5774	7.2668	8.4919	6.4594
SYNTH0430	5.1293	4.6439	5.8074	6.1085	5.5236	5.0875	5.3219	4.9069	4.3923	4.9542	5.2095	6.1699	4.5236
SYNTH0431	4.0875	4.7549	4.6439	5.0000	5.0444	4.3923	5.1699	5.2854	5.0444	5.2854	5.7814	6.5999	6.2479
SYNTH0432	8.0498	8.4878	7.9887	7.2668	7.4676	7.6795	9.6865	8.8796	9.4242	8.7781	8.2900	8.3399	8.4512
SYNTH0433	4.3923	5.1699	4.9069	5.8826	3.4594	4.3923	6.1293	5.5236	4.9542	5.8329	5.6724	6.2854	5.5546
SYNTH0434	6.4594	6.5699	6.7415	7.3750	4.3923	6.3038	5.0875	6.2854	6.5078	6.7549	6.7944	5.4594	6.1898
SYNTH0435	3.4594	4.1699	3.5850	3.8074	3.3219	2.0000	3.1699	3.7004	3.4594	3.1699	2.5850	3.9069	3.9069
SYNTH0436	5.7004	6.5078	6.0661	5.8580	6.1085	5.8826	6.2095	5.8074	5.3923	6.9425	5.2854	5.7279	6.6294
SYNTH0437	4.8074	5.4919	4.5850	4.7549	5.0875	4.1699	3.8074	4.0875	5.3219	NA	4.3219	4.5850	3.8074
SYNTH0438	8.5925	9.6952	9.1649	9.5058	10.4157	10.5765	8.4878	8.8796	9.5755	9.1370	9.1849	8.7039	8.6582
SYNTH0439	7.7004	7.5314	7.5157	7.2095	7.1699	7.5392	7.2384	7.1189	8.4471	7.4594	7.8642	8.0056	6.7549
SYNTH0440	4.7549	4.8074	4.3923	4.3219	5.9773	4.8074	5.9542	5.6439	5.7004	6.8455	5.8580	5.0444	6.0661
SYNTH0441	9.2456	8.5078	7.2479	9.4898	9.0848	9.0444	7.8704	8.1849	8.5584	8.3531	8.1599	8.1649	7.8265
SYNTH0442	5.6147	5.8826	5.4594	4.7004	4.7004	5.2095	6.0000	6.0444	5.2854	5.6724	5.4594	5.8580	5.6724
SYNTH0443	10.4030	9.8313	10.3309	9.2854	9.7549	9.2854	8.1447	9.2574	8.6546	8.1699	8.1799	7.0334	8.5622
SYNTH0444	5.9542	6.0000	6.3038	6.8074	7.3487	5.2479	5.2854	4.5850	4.5236	4.3219	5.2095	5.0000	5.6147
SYNTH0445	4.9542	6.2288	5.6439	5.0000	3.5850	6.0661	3.5850	5.0875	5.8580	5.5850	4.0875	4.3219	5.2854
SYNTH0446	8.4429	8.8265	9.2503	8.4838	8.5661	9.6366	9.0084	9.5981	9.3487	9.1085	8.9513	9.5430	9.2360
SYNTH0447	8.5196	9.9114	9.6724	8.6511	8.3083	8.8765	8.4051	9.5058	9.3129	8.5430	8.9129	8.8948	8.9773
SYNTH0448	5.0444	4.5236	5.0875	5.4594	4.4594	4.8074	5.7814	5.8826	5.9542	5.7279	6.9069	5.0444	4.9069
SYNTH0449	8.5236	7.5392	7.6865	9.0251	8.8580	8.3354	7.3129	7.0224	7.9484	7.9189	7.2668	8.6618	7.8517
SYNTH0450	5.7279	7.5850	6.9307	5.7549	5.0444	7.4179	6.2095	5.4263	6.5392	5.9307	5.4919	7.3923	7.2761
SYNTH0451	6.4919	6.3750	5.9069	6.6147	6.2479	6.5546	5.0875	4.7549	5.0444	5.5236	4.3219	4.8580	4.4594
SYNTH0452	5.8329	5.6439	6.4757	6.0444	6.3750	4.4594	4.9069	5.4263	4.8580	7.0334	5.8826	5.3219	5.5546
SYNTH0453	6.1898	6.0661	5.8826	5.8826	6.1085	5.9069	7.5314	6.3576	6.4429	6.9542	7.4009	7.3038	7.4009
SYNTH0454	4.5236	3.1699	3.1699	3.8074	2.5850	4.2479	3.3219	3.7004	2.5850	3.1699	3.7004	4.2479	3.1699
SYNTH0455	8.4838	9.1699	8.7381	9.8948	8.9542	8.0553	NA	9.7879	9.8688	8.0821	9.4858	9.4491	9.0607
SYNTH0456	6.5078	6.7142	7.1599	6.3038	6.4757	5.7814	6.9189	6.1085	6.1898	7.0224	6.0224	7.5392	6.1293
SYNTH0457	4.3923	3.0000	4.0875	5.2854	4.7549	1.5850	4.7549	4.0875	4.3923	4.4594	4.3923	3.4594	3.8074
SYNTH0458	5.6724	5.4594	6.0000	3.4594	6.4263	5.6439	5.4594	6.4263	5.5236	5.2854	6.3038	5.7814	5.8580
SYNTH0459	4.9542	7.0875	7.6511	6.3399	7.0224	6.7279	5.9773	5.7814	6.4263	6.7944	5.5850	6.9307	6.9658
SYNTH0460	7.9944	7.2479	8.0768	6.5999	7.1189	7.1599	8.3531	8.5353	8.0928	8.2479	7.8202	7.3129	7.8138
SYNTH0461	7.6653	7.9484	7.3576	7.5699	6.9307	6.4429	7.7814	6.9887	8.2240	6.4919	7.7074	7.4919	7.9658
SYNTH0462	8.1849	6.5699	8.1241	6.9887	7.0980	6.8704	7.1898	7.0768	7.5999	5.7279	6.3399	6.3923	7.3576
SYNTH0463	3.3219	3.3219	4.0875	3.8074	3.4594	4.3923	4.8580	4.7004	4.8074	4.5236	5.0875	3.8074	4.7549
SYNTH0464	6.7279	6.7279	7.0444	6.1898	5.8826	5.8074	6.3399	6.4919	5.6724	6.6147	6.0224	6.4094	6.2095
SYNTH0465	6.6724	6.4919	7.2479	6.7415	7.3219	7.2192	7.5622	6.5850	6.2854	7.2288	7.1997	5.4594	6.8826
SYNTH0466	5.7814	6.1497	6.9542	6.0000	5.9069	6.4263	6.2479	5.5546	6.4263	6.1293	6.9425	5.9069	7.1599
SYNTH0467	4.5236	4.0000	4.3219	2.3219	4.7004	4.0875	3.3219	3.7004	3.4594	3.3219	3.4594	4.0000	4.1699
SYNTH0468	5.4594	NA	5.7004	6.1497	4.9069	5.7004	6.5999	4.8580	6.5392	5.2095	5.4919	4.8074	6.0661
SYNTH0469	5.8580	6.7415	7.0980	6.4263	5.2854	6.2095	7.0334	5.9773	5.5236	5.9069	7.2479	6.7279	6.8948
SYNTH0470	3.9069	4.4594	2.5850	4.0875	4.5236	4.2479	5.3923	4.5236	5.0000	4.9542	4.7004	5.5850	3.5850
SYNTH0471	4.7004	4.8580	4.3219	5.5236	4.9069	4.5850	4.4594	5.0875	NA	5.0000	5.8580	5.0000	4.3219
