GeneSymbol	studyA_case01	studyA_case02	studyA_case03	studyA_case04	studyA_case05	studyA_case06	studyA_case07	studyA_case08	studyA_ctrl01	studyA_ctrl02	studyA_ctrl03	studyA_ctrl04	studyA_ctrl05	studyA_ctrl06	studyA_ctrl07	studyA_ctrl08
SYNTH0217	8.7245	8.7039	9.5507	7.6221	NA	9.9542	9.4998	8.1137	9.1085	7.8517	9.2992	9.2691	8.0000	8.6257	8.8765	8.9218
SYNTH0218	5.3219	5.4919	4.0000	3.0000	5.0444	3.7004	4.9542	4.3219	4.0875	5.0000	3.4594	4.5850	4.0000	4.0000	4.7549	4.3923
SYNTH0219	6.7549	5.0444	5.2095	6.0224	6.0224	6.1699	6.6724	5.7279	7.1799	5.6724	5.7004	5.2854	5.4594	7.1898	6.7415	6.3219
SYNTH0220	6.3923	6.4263	6.4094	6.1898	6.3399	6.5546	6.6582	6.6439	5.9773	6.6865	7.4512	6.7944	5.8329	6.8704	6.4429	7.0768
SYNTH0221	3.3219	3.5850	3.1699	2.5850	2.8074	2.0000	3.7004	2.0000	3.4594	3.0000	2.3219	3.7004	3.7004	NA	4.1699	3.0000
SYNTH0222	7.4263	7.7074	7.8074	8.0661	8.5812	6.9887	6.9658	7.3837	7.7616	6.9542	7.9009	7.9366	8.2574	7.0112	8.0980	7.1997
SYNTH0223	NA	3.9069	4.3219	3.8074	3.3219	5.0444	5.1293	4.0875	3.5850	4.0000	3.7004	4.9542	4.2479	4.0000	5.3576	4.0875
SYNTH0224	3.7004	4.7549	4.5236	4.3923	4.2479	4.2479	4.5850	3.4594	4.5850	5.4263	3.7004	4.0000	4.1699	4.0000	4.0000	3.4594
SYNTH0225	2.5850	4.7549	4.3219	4.8074	NA	4.8580	4.1699	3.9069	4.7549	3.9069	4.2479	3.1699	4.7549	4.4594	5.2479	5.0000
SYNTH0226	8.6402	NA	8.0875	8.4051	8.3399	7.9425	9.3597	8.2432	9.1111	9.2992	9.2167	7.7482	8.3750	8.6221	8.1548	9.5058
SYNTH0227	0.0000	2.3219	5.0444	3.4594	3.8074	3.5850	3.0000	2.8074	3.8074	1.0000	4.9542	4.0000	4.0875	2.8074	3.1699	4.3219
SYNTH0228	4.0875	3.7004	4.4594	4.6439	5.5850	4.8580	6.0000	5.0000	4.8580	4.1699	3.8074	4.0000	4.6439	5.1293	5.1293	NA
SYNTH0229	6.1085	7.0000	5.1293	5.2479	5.7004	5.3219	5.2854	5.8074	6.8329	5.2854	5.4919	5.1293	4.9069	5.3576	6.0000	4.2479
SYNTH0230	5.0000	5.4594	5.6439	6.4094	5.2479	4.7549	6.7004	5.9773	3.8074	6.7279	6.2095	6.7004	5.7279	5.1293	5.0000	5.4263
SYNTH0231	7.5157	8.0661	7.7814	7.9366	7.5622	7.1189	7.2761	7.4757	7.4179	8.1948	7.0334	7.3309	6.7142	7.0224	NA	7.4757
SYNTH0232	7.4346	7.0334	7.4512	7.5392	7.7616	7.4009	8.1033	7.2574	6.4919	NA	7.4009	7.9425	6.9542	7.5925	7.7211	6.5546
SYNTH0233	4.9542	5.0000	5.1293	5.7549	4.3923	4.8580	5.7549	5.7549	5.4919	5.9307	5.9773	5.7279	5.6147	5.4263	4.3219	5.5850
SYNTH0234	5.2854	3.3219	5.0875	5.6147	4.3219	5.1293	4.9542	4.9069	4.3219	5.4263	5.1293	4.5850	4.8074	2.0000	4.9542	4.9069
SYNTH0235	7.5925	5.4263	6.0000	5.6147	6.8074	5.9069	6.7814	5.2479	5.8074	3.8074	6.7682	5.8329	6.6582	6.1497	5.3219	6.0661
SYNTH0236	6.0000	6.0224	6.4594	5.7549	5.9773	5.3576	6.7415	7.0000	5.7004	5.8329	7.0768	5.8329	5.4919	5.0000	5.8826	6.1085
SYNTH0237	3.0000	2.3219	2.3219	3.7004	3.9069	3.1699	3.0000	2.8074	3.0000	3.3219	1.0000	1.0000	3.5850	4.0000	3.9069	4.0875
SYNTH0238	5.8826	5.9773	4.0875	3.5850	5.2854	3.4594	5.2479	5.0000	3.0000	3.0000	4.0000	3.5850	4.1699	3.0000	4.4594	3.5850
SYNTH0239	1.0000	1.0000	2.8074	4.1699	2.5850	3.3219	3.1699	2.3219	3.0000	2.3219	3.8074	2.8074	3.8074	2.3219	3.0000	3.3219
SYNTH0240	4.7549	5.6439	5.0875	5.8826	4.9069	6.2479	4.9069	5.7279	4.3923	6.2288	5.0000	5.7004	5.6724	4.5850	5.8329	5.2095
SYNTH0241	8.0389	6.6439	7.2384	6.5850	7.4009	7.6439	7.3923	6.1085	5.8580	7.7211	7.4512	7.3219	6.9307	7.7211	6.0444	6.9887
SYNTH0242	5.0444	5.5850	5.7279	5.3923	6.7814	6.1293	6.5546	5.1699	6.2095	5.2095	6.4919	5.6724	6.5699	5.8329	6.6439	5.5546
SYNTH0243	3.3219	4.5236	2.3219	3.4594	2.8074	2.8074	3.8074	3.4594	3.7004	3.1699	3.0000	2.0000	4.3923	2.8074	3.1699	NA
SYNTH0244	7.0444	6.1497	6.4757	7.7482	6.8329	7.2288	7.0000	7.0000	7.0553	4.3219	6.8948	5.9542	6.5999	7.1497	7.3038	5.6439
SYNTH0245	7.4094	6.4094	7.4838	6.3038	7.2946	7.3309	5.8074	6.8580	6.6294	6.2095	7.4998	6.4757	6.9069	7.0334	7.4512	6.6439
SYNTH0246	3.5850	4.9069	3.8074	4.4594	4.4594	4.0875	4.1699	4.4594	3.1699	4.9069	3.3219	NA	3.8074	3.7004	4.2479	3.3219
SYNTH0247	5.4594	5.2479	4.3219	4.5236	5.0444	5.0875	4.5850	2.5850	4.3923	4.7549	4.7549	4.5850	4.1699	4.8074	4.7549	3.7004
SYNTH0248	9.1370	8.4388	8.2046	7.3487	8.8297	7.8826	7.5314	9.0795	8.2288	8.2946	7.4838	8.5962	9.1472	7.7748	8.2527	8.2479
SYNTH0249	4.0875	5.4594	5.3576	4.5236	5.0000	3.7004	4.2479	5.1699	4.8074	5.0000	4.3219	5.4263	4.0875	4.1699	3.4594	4.7004
SYNTH0250	7.3750	7.1396	7.7347	7.2668	6.5999	7.8517	7.1497	7.3309	7.9069	7.4512	6.9307	7.5392	4.9069	8.2336	6.9425	6.4429
SYNTH0251	5.3219	5.0875	4.0000	4.0875	5.6439	4.7549	5.7279	4.0000	5.8580	NA	5.2479	4.5236	4.4594	5.3219	4.7549	5.1293
SYNTH0252	7.4998	7.1497	5.0444	6.3576	6.8580	6.8826	7.0444	6.8455	6.3219	6.6147	6.8580	6.7682	7.4676	6.5850	6.9307	6.9773
SYNTH0253	6.0875	7.3750	5.8580	5.0444	6.0444	6.4094	6.4263	6.2668	4.2479	5.9773	5.3576	6.1293	5.7279	4.7549	5.7004	6.2479
SYNTH0254	4.4594	5.5546	5.2854	4.0000	5.0444	4.7549	5.6147	NA	5.3219	4.3923	5.5546	4.7004	4.5236	4.0000	5.8580	5.0000
SYNTH0255	7.7549	7.8138	7.3219	6.8948	6.9887	7.7682	7.2574	7.3129	6.2854	6.2854	7.9944	7.9773	6.6582	7.0000	7.7482	8.8734
SYNTH0256	5.2479	4.1699	3.8074	3.4594	4.8074	6.0224	4.2479	4.9069	5.9773	4.6439	4.6439	5.1699	4.5850	4.8074	5.0000	4.9542
SYNTH0257	8.0224	8.8455	8.5038	7.9887	8.7108	7.5236	7.9944	8.1033	8.5850	6.7142	6.6582	7.9366	8.3083	8.4512	8.7177	8.1599
SYNTH0258	7.2288	6.8580	7.1189	7.3750	NA	NA	7.1293	6.9425	7.9129	7.4512	7.7142	7.1997	7.0980	7.3837	8.0224	7.6935
SYNTH0259	7.6366	8.3038	7.9069	8.1396	7.5622	7.0112	7.7944	7.7748	7.3576	7.6511	8.0168	7.9830	9.2288	7.5999	8.3174	6.2854
SYNTH0260	4.2479	2.3219	3.5850	3.3219	2.3219	4.0000	3.8074	2.3219	4.2479	2.8074	4.1699	3.3219	3.9069	3.0000	3.9069	3.0000
SYNTH0261	4.7004	5.2095	3.7004	NA	4.0000	4.5236	4.5850	4.5850	2.5850	3.7004	5.1699	5.1293	4.0875	4.6439	4.7004	4.7004
SYNTH0262	4.7549	5.6724	4.2479	3.7004	3.4594	3.9069	4.3219	5.1699	5.0444	3.7004	4.4594	4.5236	4.5236	3.5850	4.5850	4.3923
SYNTH0263	2.5850	3.7004	2.5850	3.9069	3.3219	3.5850	3.8074	4.0875	3.0000	3.0000	2.8074	4.0875	3.0000	3.9069	2.5850	3.1699
SYNTH0264	8.6330	9.6582	8.8234	9.5641	8.6366	8.9600	8.9687	8.9542	8.5887	7.1085	7.7211	9.3509	8.6147	8.7649	8.6689	8.8918
SYNTH0265	4.2479	6.0000	5.0444	5.4263	4.0875	4.8580	5.3219	3.7004	4.8074	4.1699	5.0000	5.1699	6.1898	4.8580	4.3219	5.6147
SYNTH0266	2.0000	2.3219	2.0000	1.5850	2.3219	0.0000	3.0000	2.0000	3.0000	3.5850	3.5850	1.5850	2.0000	3.0000	2.8074	2.3219
SYNTH0267	5.5546	5.4263	6.2095	7.0553	7.4094	6.2479	5.2095	6.0875	5.0875	4.5850	5.0875	4.8580	5.4919	4.0875	NA	4.7004
SYNTH0268	5.3576	4.6439	5.3219	3.5850	4.7549	4.3219	4.5236	5.3923	4.5850	4.7004	4.1699	4.9542	4.5236	4.3923	4.7004	4.7549
SYNTH0269	4.5236	5.0444	5.8329	4.4594	4.2479	5.8826	5.7279	5.1699	6.9425	6.4094	6.5236	5.6724	6.7814	6.6147	5.8329	6.9773
SYNTH0270	4.1699	6.7814	4.6439	5.1293	5.3923	6.3576	4.0000	5.8826	5.4263	6.2288	6.1699	3.7004	5.4919	4.3219	5.2854	5.8826
SYNTH0271	5.0000	5.1699	4.5236	5.1699	5.4919	6.1293	4.9069	4.0875	5.2854	5.9069	5.4919	5.0875	4.3923	5.4263	6.0000	4.8074
SYNTH0272	5.5850	4.2479	5.5850	5.4919	5.7279	4.4594	5.8329	4.3923	5.2854	4.4594	4.4594	4.4594	5.3576	4.6439	4.4594	3.4594
SYNTH0273	3.0000	4.3923	2.5850	3.1699	3.4594	5.1293	3.5850	4.0875	3.4594	3.8074	2.8074	3.7004	3.8074	3.4594	3.8074	3.4594
SYNTH0274	3.3219	3.0000	1.5850	3.1699	4.0000	3.7004	2.3219	3.1699	3.8074	4.7549	3.7004	3.5850	3.3219	2.0000	3.1699	3.4594
SYNTH0275	7.9658	7.3487	7.5469	7.7944	6.8455	8.8549	8.9454	8.4094	8.3399	7.5392	7.8948	6.4429	8.7879	8.1293	8.3794	7.9830
SYNTH0276	5.8329	7.0444	4.7549	6.8202	6.5392	7.4998	6.2854	6.5078	5.4263	7.4346	6.5546	7.2288	NA	4.9542	5.2479	5.7004
SYNTH0277	4.0875	5.2854	5.2095	5.9307	5.3219	3.9069	5.6439	4.3923	5.3923	4.0000	5.2095	4.9069	4.7004	5.1293	4.1699	4.0875
SYNTH0278	9.1898	7.9069	9.0715	7.0875	9.0928	8.5236	8.3837	7.7616	9.0389	8.4959	8.5038	8.7347	8.2761	7.6865	8.7748	7.4512
SYNTH0279	3.9069	4.5850	5.6439	4.1699	4.9542	5.4594	4.9542	5.3219	5.1699	4.7549	4.6439	4.0000	5.3923	4.2479	4.2479	4.0000
SYNTH0280	6.1497	7.3129	8.2384	7.2854	7.9715	7.7748	7.0553	7.3129	8.1241	7.9248	8.1849	7.7142	7.7074	9.0634	8.5392	8.8009
SYNTH0281	4.0875	4.1699	4.8074	5.0875	4.3923	3.1699	3.7004	4.8074	3.9069	2.8074	3.0000	3.7004	2.5850	2.8074	0.0000	3.8074
SYNTH0282	9.5584	9.3309	10.1662	10.3987	10.4848	9.1523	10.1383	10.0334	9.4574	8.8265	7.8887	7.1699	8.3531	8.1898	8.2761	8.3707
SYNTH0283	7.2095	7.9307	6.9658	7.5392	7.7074	6.9425	4.9069	6.6147	7.7482	7.3750	7.2946	7.4919	7.1189	7.5546	NA	6.3576
SYNTH0284	7.2095	6.9773	8.0661	6.4594	6.3219	6.0661	6.6294	6.4594	7.1293	6.6147	6.6147	7.0334	6.7549	7.3923	6.8202	6.6582
SYNTH0285	3.9069	3.0000	4.1699	2.0000	4.0875	2.8074	3.7004	3.7004	2.3219	2.8074	3.0000	3.3219	3.4594	4.3923	4.5236	3.5850
SYNTH0286	4.3923	4.6439	4.3923	3.4594	2.5850	4.3923	3.1699	4.3923	4.2479	4.2479	4.7004	4.2479	4.3923	5.1699	3.4594	4.0875
SYNTH0287	4.9542	5.3219	5.4594	5.2479	4.9069	4.8074	5.2479	4.9069	4.3923	3.9069	4.3923	4.8074	4.5850	4.5236	3.9069	NA
SYNTH0288	3.3219	2.8074	3.1699	3.9069	3.5850	2.5850	3.4594	3.7004	3.3219	3.5850	2.0000	2.5850	4.0875	2.0000	4.4594	2.0000
SYNTH0289	6.9307	7.4919	6.5999	5.8580	5.4263	5.7004	7.0875	5.8580	6.0875	5.9773	4.9542	7.1898	6.5999	6.5850	5.8329	7.0875
SYNTH0290	6.1699	4.4594	5.6439	5.1293	6.3750	6.3750	5.7004	6.7279	6.0000	6.2288	6.3219	5.0444	6.1293	5.6439	5.0444	5.7549
SYNTH0291	7.7074	6.8826	5.2854	7.4998	7.9189	6.7142	6.9658	5.8826	7.4757	6.8826	7.5078	7.8580	6.9069	8.3083	7.2854	7.8009
SYNTH0292	6.0875	5.3923	NA	6.8580	6.2095	6.3399	4.9542	4.8580	6.8455	6.0000	6.3219	5.8580	6.2095	5.6724	6.4757	6.0000
SYNTH0293	2.0000	4.1699	2.5850	4.0875	3.0000	2.0000	3.1699	3.7004	0.0000	3.0000	3.1699	0.0000	2.8074	2.5850	1.5850	3.8074
SYNTH0294	5.4263	6.4094	7.4594	7.1189	7.3487	7.0661	6.5392	6.7415	7.0553	7.4919	7.0224	7.1898	7.5392	6.3576	6.7004	7.2288
SYNTH0295	6.2095	6.5392	7.8202	7.1799	6.1497	7.7279	6.7549	7.6221	9.1111	8.6366	7.8642	8.0168	8.5584	8.4136	9.2216	9.0028
SYNTH0296	3.4594	3.5850	3.0000	3.4594	3.0000	3.1699	3.3219	3.5850	3.3219	3.4594	3.7004	2.8074	3.1699	3.1699	3.7004	4.3219
SYNTH0297	7.9600	7.7004	8.4594	8.1849	9.4798	9.0444	7.6795	7.6221	8.6865	8.3619	8.4676	8.2900	7.4179	8.1699	8.2715	8.7582
SYNTH0298	5.3923	6.3038	6.1497	6.3750	6.9542	6.9773	6.4094	5.8074	6.6865	5.6724	8.0768	6.9425	5.7549	4.9069	6.6147	4.9542
SYNTH0299	4.9069	6.0875	6.2668	6.0661	6.1699	6.5699	4.5236	5.7549	5.5236	6.0444	5.8074	5.4919	4.6439	5.9069	6.4757	6.1898
SYNTH0300	3.0000	4.0000	4.0875	3.8074	3.3219	4.2479	2.8074	3.3219	2.3219	4.5850	4.5850	3.5850	5.0875	3.4594	3.3219	3.5850
SYNTH0301	7.8948	NA	8.7211	8.1898	8.3750	8.4094	9.3015	8.6073	7.6724	8.2336	9.1799	7.8265	7.8009	8.0334	8.1497	8.6724
SYNTH0302	5.4919	5.3923	3.8074	5.3923	4.9069	6.1085	5.3576	4.2479	5.3923	5.0000	3.9069	3.7004	5.0875	4.3219	5.1699	4.4594
SYNTH0303	3.8074	3.9069	4.0000	3.1699	4.8074	4.6439	4.5850	5.1699	3.7004	4.9069	5.0875	4.5236	4.8074	4.5850	4.7549	4.5236
SYNTH0304	6.4757	6.3219	5.8826	5.7549	6.4594	5.5546	5.1699	5.7279	5.0000	5.5546	5.7549	4.7549	5.4594	4.5850	3.9069	5.0000
SYNTH0305	8.5275	8.7347	9.5196	8.2715	9.8234	7.1293	8.5962	7.2946	8.5430	NA	7.1699	7.8704	7.0000	7.9773	8.2288	8.3750
SYNTH0306	7.5469	7.8948	9.1573	8.9484	7.9248	8.8234	9.5943	9.8765	7.9307	8.4136	8.9600	6.8202	8.2479	8.6900	9.0140	7.2946
SYNTH0307	2.5850	3.4594	4.0875	3.1699	4.3219	3.4594	3.9069	4.1699	1.5850	3.3219	3.5850	2.3219	3.3219	3.3219	2.5850	3.3219
SYNTH0308	4.9542	6.0875	6.5236	4.5236	6.4757	5.8329	4.9542	5.8826	5.9773	4.7549	6.1497	5.3219	6.0875	6.2288	6.0661	5.2479
SYNTH0309	7.8074	8.9744	8.9944	8.0875	8.7944	9.4858	8.3129	6.9425	8.3880	8.6221	8.1189	8.5118	8.2808	7.8265	8.8580	7.6865
SYNTH0310	7.7482	7.4009	8.1849	8.2761	8.4594	8.2240	7.9944	7.8329	8.4305	8.7846	7.8329	7.6439	7.5699	6.9887	7.7682	8.1497
SYNTH0311	5.5546	4.7549	6.1898	5.7549	5.3219	4.6439	6.5850	6.3399	5.0444	4.1699	5.9542	6.2095	6.2288	6.4429	6.4094	5.5850
SYNTH0312	7.0334	7.5236	7.2574	7.8265	6.9542	7.0768	6.8455	8.3443	6.8455	5.5850	6.7549	6.7415	7.0334	7.3750	7.2574	5.6147
SYNTH0313	8.7004	7.7482	8.7944	6.9307	8.1699	7.3923	8.2046	8.4346	7.8329	8.9658	7.4919	8.8170	9.3554	7.8009	7.8580	8.4878
SYNTH0314	6.3038	6.4594	6.5078	5.6724	7.5850	6.4757	7.2668	6.0661	8.4635	8.8918	8.1898	7.8704	NA	7.4998	9.4200	7.7004
SYNTH0315	5.3576	4.1699	5.0444	3.8074	4.7004	4.5850	5.3219	4.0000	4.1699	5.0875	4.9069	5.3219	5.2095	3.7004	4.0875	4.3923
SYNTH0316	5.1293	5.5546	5.7814	5.2854	5.9542	5.6724	5.3923	4.8074	5.3923	5.2479	5.0875	5.5236	5.9773	5.4594	5.9773	5.0000
SYNTH0317	4.5850	5.1293	4.6439	4.4594	3.7004	4.2479	5.9542	5.2854	3.9069	2.8074	4.8074	4.3923	4.0875	5.0000	4.0000	4.7004
SYNTH0318	6.1085	5.6724	6.3399	5.1699	5.6147	5.9542	6.5078	5.7549	5.1699	4.3923	6.1293	5.2479	5.3219	6.4594	5.9773	5.6439
SYNTH0319	4.5236	1.0000	4.6439	3.9069	4.8580	2.8074	4.1699	3.0000	3.3219	3.9069	3.1699	4.3923	3.8074	3.4594	3.0000	4.4594
SYNTH0320	6.2479	4.0000	5.9542	6.7682	6.7549	4.4594	6.4594	7.6795	6.0444	6.8074	6.5236	5.9069	4.2479	6.3038	6.4919	6.0000
SYNTH0321	6.9307	8.3487	8.4878	6.8329	6.8455	7.8642	7.8074	8.6511	7.8642	7.0112	8.3576	8.3531	8.7781	8.8234	8.0607	7.1189
SYNTH0322	6.6865	6.9425	7.7549	6.4263	6.2095	7.0224	6.1699	7.7004	6.8826	7.3399	6.3923	7.5925	7.0444	5.8329	6.0000	5.7549
SYNTH0323	3.1699	3.1699	4.1699	4.3219	2.8074	4.3923	4.7004	3.1699	4.5236	4.4594	4.6439	3.7004	4.2479	4.5850	4.1699	4.2479
SYNTH0324	7.7142	7.3309	7.9425	6.7944	7.7211	7.6366	7.2192	7.8887	7.3487	8.6511	7.5850	6.9069	6.8704	8.3083	7.2192	7.4094
SYNTH0325	5.4919	5.7279	5.8826	5.1293	5.4594	5.3576	4.4594	3.9069	6.3038	5.0444	6.6582	4.7004	4.2479	5.8580	5.1293	5.2479
SYNTH0326	3.7004	4.2479	2.0000	4.6439	3.9069	3.8074	4.0000	3.7004	6.1898	6.0875	3.9069	4.6439	5.8826	5.5850	5.0875	5.2479
SYNTH0327	8.8704	8.8455	9.2900	8.6036	8.9484	7.9830	9.0279	9.2761	7.7074	8.9307	8.8455	7.3923	7.7415	8.0056	8.9484	7.8202
SYNTH0328	4.9069	6.1699	5.9307	4.9542	6.4919	5.1293	5.3576	5.3576	6.2288	6.2095	5.5850	5.8074	5.7004	6.0224	5.5546	5.2479
SYNTH0329	1.5850	1.5850	2.5850	2.5850	3.1699	2.0000	3.1699	2.8074	1.0000	2.0000	3.9069	1.5850	3.5850	3.7004	2.8074	3.4594
SYNTH0330	8.5314	8.8796	8.1898	7.5774	8.1189	7.9715	7.7814	7.8392	7.4346	8.1137	8.6257	8.5999	8.7177	8.1649	7.7347	8.3309
SYNTH0331	5.0444	4.5236	4.8580	3.1699	5.2854	4.8074	5.1293	5.4919	3.9069	5.1293	5.3576	4.5850	4.5236	4.9069	4.1699	5.5236
SYNTH0332	8.9887	9.6707	8.0715	9.0140	8.4798	9.0251	9.2550	9.2288	8.7582	8.9129	8.7846	8.5774	8.9773	8.4717	8.8765	8.5812
SYNTH0333	6.9307	6.9425	NA	6.5850	7.1293	7.2192	6.8329	6.7549	7.3837	7.1497	7.3663	7.4179	8.2668	6.5999	8.0168	7.0768
SYNTH0334	8.2854	9.1649	7.7879	9.8826	7.4676	9.5812	8.6760	9.1472	7.9189	7.5236	7.9069	8.0980	7.5774	7.4346	8.0389	5.8826
SYNTH0335	5.3923	3.4594	3.9069	4.6439	5.5546	5.0875	4.7004	4.9069	4.7004	5.6439	6.0661	4.9069	4.2479	3.7004	4.1699	5.4594
SYNTH0336	2.0000	2.0000	2.3219	2.3219	1.5850	2.5850	1.0000	2.0000	3.7004	3.8074	3.5850	3.7004	3.5850	2.3219	3.8074	2.5850
SYNTH0337	5.3923	5.5850	5.1699	6.2095	5.0875	5.2479	4.9069	4.6439	4.5850	6.6439	4.7004	5.1699	6.5546	5.3219	5.3923	4.7549
SYNTH0338	5.9773	6.3576	6.9425	6.6582	5.0875	5.4919	5.6439	6.2668	5.9773	5.4263	6.5999	5.8074	6.6724	6.7814	6.1085	7.4757
SYNTH0339	5.7004	4.7549	5.3219	5.1293	3.5850	4.5236	4.5236	4.5236	4.3219	5.4919	3.8074	4.5236	4.3219	4.1699	5.5546	3.4594
SYNTH0340	6.2854	6.1898	6.7549	4.4594	6.3219	7.0224	7.4919	7.0553	7.2761	7.5469	6.1085	7.7814	7.4009	5.2479	7.0553	5.2854
SYNTH0341	6.1497	5.3576	5.0875	5.6439	NA	6.1497	6.3923	6.4919	5.8074	6.3923	5.3923	5.9069	5.4594	5.5850	5.4594	6.1699
SYNTH0342	7.4009	8.2621	7.5699	7.8948	7.4429	6.5699	7.6582	7.3923	7.0444	5.9307	8.0056	7.2574	6.6439	7.6935	8.5774	6.9887
SYNTH0343	5.2095	4.2479	4.1699	4.2479	4.6439	5.7279	5.2479	5.0444	3.1699	4.0000	3.9069	4.0875	2.8074	3.5850	4.7549	3.4594
SYNTH0344	2.5850	4.6439	4.3219	4.8074	3.4594	2.3219	3.4594	3.4594	3.5850	2.8074	2.0000	4.0875	2.5850	3.1699	3.5850	4.3219
SYNTH0345	8.4717	7.3487	8.2095	8.8549	NA	8.6865	8.8202	NA	7.0768	9.4696	8.1293	8.2095	9.3576	8.4635	8.4009	9.4051
SYNTH0346	3.7004	3.5850	4.5236	3.3219	2.0000	4.0875	3.3219	4.4594	3.7004	4.2479	3.7004	2.5850	3.7004	3.4594	4.0875	3.5850
SYNTH0347	3.4594	4.3923	3.0000	4.5850	4.3219	4.8580	5.3576	4.4594	4.0000	4.5850	4.5236	5.0444	5.2479	4.5236	5.2095	4.8074
SYNTH0348	3.7004	4.0000	3.8074	4.3219	2.0000	3.5850	4.3923	4.3219	4.8074	5.5546	4.0000	4.9542	4.6439	5.9773	5.5850	5.0000
SYNTH0349	7.5078	7.5850	8.7381	7.0112	8.4263	7.8202	7.8455	8.5314	7.6439	NA	6.9542	8.3531	8.0389	7.9307	7.8826	7.6147
SYNTH0350	8.4346	8.9009	8.1599	8.0389	8.1948	8.2808	8.7211	7.3576	8.3923	8.7415	7.9248	8.4919	8.7649	8.2574	8.2240	8.7515
SYNTH0351	3.9069	3.5850	2.8074	3.5850	4.3923	3.0000	3.1699	2.0000	3.1699	3.8074	0.0000	3.0000	2.8074	3.5850	2.3219	2.5850
SYNTH0352	7.8392	8.1497	8.1799	7.4919	7.4094	6.7142	8.0928	7.4179	8.6184	7.6073	7.2761	6.8202	6.3399	7.3309	8.3309	6.8074
SYNTH0353	7.6366	9.0553	7.7748	8.4179	9.1548	8.2192	8.8138	8.6653	9.1724	8.6330	9.2738	9.4717	9.2574	8.2946	7.6653	8.8329
SYNTH0354	4.4594	4.0875	4.1699	2.8074	3.0000	3.4594	4.4594	3.5850	4.0875	3.5850	3.3219	4.8580	3.9069	3.0000	3.8074	4.0000
SYNTH0355	5.7004	5.3576	4.9542	4.9069	6.6582	6.4094	5.1699	6.8202	NA	6.6582	6.3399	6.5236	5.0000	5.6439	5.3219	5.5850
SYNTH0356	7.9129	6.4757	8.6760	7.7814	7.6294	8.7912	7.7879	7.9773	7.9129	8.6073	7.8455	8.4388	7.7549	7.2761	7.9715	7.6366
SYNTH0357	9.2808	9.4878	8.9248	8.4346	9.3576	8.4221	8.4094	7.7074	8.3174	8.1548	7.8642	9.1472	8.8486	8.0875	9.4409	7.5774
SYNTH0358	6.7415	7.7142	8.3750	7.8202	7.2854	7.3487	7.3576	7.3129	7.6724	8.0928	6.8826	7.9307	8.1997	6.0224	8.4878	7.1997
SYNTH0359	4.9069	6.7004	6.4919	6.3923	5.0444	5.9069	6.0000	6.2668	6.0875	5.0000	5.5236	5.5546	5.7814	6.0000	6.0661	6.5392
SYNTH0360	8.4221	8.4305	9.2240	9.2877	8.3129	8.7846	9.7125	9.2992	9.4325	9.4778	6.6294	7.4346	8.3619	8.2574	9.3242	9.0661
SYNTH0361	4.7004	4.7004	5.1293	5.1293	5.0875	5.0000	5.2095	3.9069	4.9069	3.9069	5.0000	4.6439	5.4919	4.1699	4.7549	4.1699
SYNTH0362	7.2854	7.1898	6.7004	6.9425	6.2854	4.9542	5.6439	8.1497	7.1599	5.9069	7.1997	7.0768	6.2479	5.6724	6.1699	6.2288
SYNTH0363	7.7347	7.6221	7.4594	7.8074	6.4919	7.9009	7.7944	7.4512	7.3837	7.0553	NA	8.2668	5.9542	NA	6.6147	7.1189
SYNTH0364	8.0715	8.3487	7.4757	7.9248	8.5314	7.6653	7.8517	8.1085	8.2668	6.7814	8.3038	8.4553	8.8826	7.9189	8.8549	8.3264
SYNTH0365	0.0000	2.3219	0.0000	2.0000	2.5850	3.0000	0.0000	1.5850	2.0000	2.0000	3.0000	2.5850	4.0000	2.0000	2.8074	3.4594
SYNTH0366	8.6618	8.8170	8.2761	8.0224	8.1948	8.4553	9.4778	8.2046	9.0901	7.6366	6.9773	9.5078	8.2046	9.4200	8.7616	9.5098
SYNTH0367	8.0498	7.5999	8.3083	7.2288	8.4136	8.5962	7.9009	7.3487	7.8455	7.1293	7.1293	8.3443	7.6582	8.4919	8.6830	8.0768
SYNTH0368	3.5850	3.0000	4.4594	3.8074	3.0000	4.0875	2.8074	4.4594	4.3923	4.3219	2.5850	4.4594	1.0000	3.7004	4.1699	4.4594
SYNTH0369	2.5850	3.1699	2.8074	3.1699	4.3923	4.0875	1.0000	3.9069	3.4594	3.1699	4.0000	4.0875	2.5850	3.1699	3.7004	2.0000
SYNTH0370	6.2854	5.8329	6.3923	5.1293	6.1898	6.7814	5.7279	5.5546	6.7944	5.6439	5.6724	6.2095	5.1699	5.6147	5.7814	7.1799
SYNTH0371	7.0661	8.4305	7.5774	7.2946	7.4919	7.4512	6.9887	7.3837	7.4429	6.8455	7.8009	7.0000	8.0553	7.3487	7.2854	7.3129
SYNTH0372	3.9069	3.4594	2.3219	2.8074	3.0000	5.0444	3.8074	4.5850	3.8074	3.1699	2.8074	2.5850	4.7004	3.8074	2.5850	3.3219
SYNTH0373	4.5850	4.5850	5.0000	4.0875	5.5236	4.7549	4.4594	4.3219	5.3923	1.0000	3.4594	5.5546	3.3219	4.8580	4.6439	4.8580
SYNTH0374	3.7004	3.3219	2.5850	3.1699	2.0000	3.5850	3.0000	2.3219	3.0000	3.9069	3.8074	2.5850	1.0000	3.0000	3.1699	2.0000
