GeneSymbol	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
SYNTH0169	7.3923	7.9887	8.3619	7.0444	7.5699	8.5314	8.7482	8.3399	7.4179	8.1548	NA	8.0553	8.4919	7.2095	8.0821	8.2288	8.2621	7.2095	7.6582
SYNTH0170	6.4094	6.1497	6.5392	6.4594	5.6724	5.3923	5.4919	5.2854	4.5236	6.0224	6.5078	5.0875	5.8074	4.6439	5.0000	4.5236	6.6724	5.0875	6.2288
SYNTH0171	3.0000	1.0000	2.0000	3.3219	1.5850	2.5850	3.4594	3.3219	3.3219	3.5850	2.3219	3.1699	2.5850	4.0000	3.3219	3.4594	3.5850	3.3219	2.3219
SYNTH0172	8.1548	6.4594	6.7944	6.2479	7.9542	8.0168	8.2240	7.4094	9.1319	7.4757	7.3399	7.7682	7.6582	7.3309	7.9425	8.0056	8.3038	7.9542	6.8580
SYNTH0173	3.3219	5.0444	2.5850	4.2479	4.9069	4.9542	4.0875	3.8074	4.5236	4.6439	4.5236	4.3923	4.4594	3.1699	5.3576	4.4594	4.7004	4.9542	4.8580
SYNTH0174	8.0224	7.5850	8.0607	6.8704	7.9830	8.1699	8.5118	6.5546	6.6582	6.9069	7.1699	8.5196	7.8202	7.4009	8.0056	8.2288	7.7279	7.9069	7.6582
SYNTH0175	5.2854	4.5850	5.5546	4.8580	4.7004	3.5850	3.9069	4.9069	4.2479	4.8580	3.8074	4.3219	4.2479	4.3923	4.9542	4.4594	4.2479	5.0000	4.4594
SYNTH0176	8.3880	7.4757	8.8826	8.3880	9.0279	7.6511	9.0715	8.3174	9.5196	9.5058	8.7415	8.9337	8.0821	9.1624	8.7142	8.8265	7.9887	8.7977	5.8580
SYNTH0177	6.7682	7.1799	6.9887	6.6439	7.3487	7.0334	6.6294	6.6439	7.2384	5.9542	6.5699	6.8455	7.2761	7.3663	7.1699	6.7279	6.4429	6.3219	6.9887
SYNTH0178	9.0875	8.1033	8.7177	8.7515	8.1599	NA	7.5546	7.9944	8.6257	7.2946	8.5236	7.8392	8.0168	8.5774	7.0768	8.9159	8.6366	9.0715	7.1997
SYNTH0179	4.7549	4.2479	4.4594	4.5236	4.0000	4.2479	3.5850	4.9069	5.1699	5.0444	4.3219	4.7549	2.8074	4.6439	4.2479	5.1699	3.5850	3.8074	4.2479
SYNTH0180	6.5392	6.0444	7.1997	5.8329	5.5236	7.2288	6.2854	6.0661	NA	5.9542	8.0112	5.7549	6.5850	6.1293	5.5236	7.2288	6.0224	6.3038	3.8074
SYNTH0181	8.3219	8.0334	7.3923	8.3966	6.8826	8.2192	8.0553	7.6366	6.1898	7.8887	8.6935	7.5774	9.1573	7.3038	8.0821	7.7347	7.8392	8.2192	7.7074
SYNTH0182	3.3219	3.3219	3.1699	4.0000	2.5850	3.3219	3.0000	4.5850	3.3219	4.0875	4.3923	2.0000	3.3219	3.9069	3.3219	4.6439	2.8074	3.0000	4.3219
SYNTH0183	7.2288	6.6582	7.0000	6.1497	7.0661	6.7004	6.8202	7.1293	6.1898	7.3663	6.4094	7.0875	6.1085	7.1799	6.0875	5.8074	7.1085	7.0224	6.8826
SYNTH0184	9.1898	8.8202	8.6511	7.7279	8.5469	8.4094	7.4676	8.1344	8.1344	9.3750	8.3750	9.2597	8.6036	9.4798	8.4959	7.7211	8.9687	8.8642	9.1007
SYNTH0185	7.9600	7.8074	7.3219	7.8948	8.2046	7.4512	7.6147	7.1293	7.8704	7.6865	7.0112	6.3038	6.0661	5.0875	6.5546	5.6439	5.6724	6.2854	5.6439
SYNTH0186	5.5546	7.3837	5.7549	7.1497	7.3309	6.2479	7.2288	6.7944	6.1085	5.5236	7.3309	NA	6.6865	6.4594	6.1699	7.3923	5.7004	6.2095	6.6865
SYNTH0187	4.5850	2.0000	3.1699	2.0000	3.1699	3.3219	3.0000	3.3219	3.1699	3.4594	4.1699	3.5850	5.1699	3.0000	3.9069	3.4594	3.8074	4.3219	3.4594
SYNTH0188	7.8887	7.2854	8.5887	8.0768	8.3487	8.1749	8.8329	7.2479	9.0362	7.0661	8.7846	7.6724	9.0224	7.0875	8.7977	8.0661	7.5392	8.3399	7.8392
SYNTH0189	9.6294	9.1749	9.1137	9.4818	8.9915	9.4898	9.1849	9.1599	7.7142	8.3264	8.7649	9.0417	8.4094	8.9715	8.7448	8.5078	9.2143	8.7582	8.5196
SYNTH0190	4.2479	5.5850	4.4594	4.2479	5.3219	4.3219	4.9069	4.6439	5.0000	4.7004	4.5850	4.5236	5.1293	4.0000	2.8074	4.8074	5.4594	5.1293	4.9069
SYNTH0191	7.2761	7.5546	6.2668	7.4346	6.9658	6.9542	7.7142	6.2854	7.8517	7.6511	7.9542	8.0875	6.5546	6.8580	6.2668	8.1497	6.0875	6.5236	6.0224
SYNTH0192	4.0000	2.3219	3.9069	4.7549	4.0875	4.3219	2.8074	NA	3.3219	2.8074	4.0000	3.9069	4.4594	4.0000	4.5236	3.5850	3.4594	4.3923	4.0000
SYNTH0193	3.4594	3.4594	4.8074	2.5850	3.1699	2.5850	3.7004	3.8074	3.1699	4.1699	3.4594	3.8074	4.3923	3.8074	4.7004	4.5850	3.9069	3.4594	4.9542
SYNTH0194	7.8265	8.0875	7.5699	7.4838	7.2479	7.0661	7.1799	7.0334	7.3576	7.2095	6.0661	6.9069	6.5999	7.5622	7.6221	6.7549	7.5392	6.7682	7.1497
SYNTH0195	3.9069	3.1699	3.3219	3.3219	3.4594	3.3219	3.1699	2.0000	4.0875	4.0875	4.1699	3.4594	3.1699	2.5850	3.1699	3.3219	3.7004	4.0000	3.4594
SYNTH0196	3.4594	3.1699	3.0000	3.0000	2.5850	2.5850	2.0000	4.7549	3.8074	3.5850	3.0000	2.3219	4.5850	4.9542	4.0000	3.1699	2.3219	3.5850	3.3219
SYNTH0197	6.1497	7.6511	8.0334	5.3576	7.2668	6.1497	7.2479	6.7814	7.4512	7.3399	7.0980	7.0980	6.8329	6.4919	6.9887	7.5157	6.0661	7.4009	4.8074
SYNTH0198	3.4594	4.4594	3.0000	2.0000	3.1699	3.1699	4.5850	3.8074	4.0000	4.8580	3.0000	0.0000	3.3219	3.3219	4.1699	4.0000	3.9069	3.1699	4.2479
SYNTH0199	4.0875	5.0444	4.1699	4.5236	5.2095	4.8580	5.4594	4.7004	5.1699	6.0661	4.8074	4.9542	5.7004	5.2479	4.6439	5.9069	5.2479	4.7549	5.0444
SYNTH0200	8.1799	6.0444	6.5078	8.4798	7.7482	8.1241	7.1898	7.7814	8.2715	6.2095	7.2946	8.1898	7.6221	6.8074	7.1997	7.1997	7.9830	7.6221	8.2527
SYNTH0201	7.2479	8.2621	5.9069	5.9773	7.4676	6.9658	7.5622	6.2288	7.1699	7.4009	8.2432	7.3038	8.6294	7.4009	NA	7.0334	8.8329	8.9009	8.0224
SYNTH0202	8.1699	9.3487	7.7211	7.9715	8.1293	9.5275	9.0661	9.4346	10.1636	8.1085	9.0980	9.4200	9.1033	9.0741	10.1254	7.9425	8.3794	8.6935	10.0348
SYNTH0203	6.1085	4.9069	5.4263	4.3219	5.6147	4.0875	5.4919	6.3219	5.3923	5.1293	4.0000	5.0000	5.2479	3.8074	5.5236	5.7549	5.5236	5.9542	5.5850
SYNTH0204	6.1699	6.0000	5.9773	7.1898	7.1898	6.1699	7.2384	6.5078	6.6582	6.4919	5.2095	7.4998	6.4263	7.5314	7.0875	7.1997	6.6582	6.6865	5.5236
SYNTH0205	5.5850	4.6439	5.5850	5.5236	6.0661	4.3923	6.0000	5.0444	5.5850	4.9069	4.3219	4.6439	5.3219	5.6724	4.1699	4.0875	5.2854	5.4594	4.7004
SYNTH0206	4.0000	6.2668	5.3219	6.3923	5.9307	4.9542	NA	6.6724	5.3576	4.5236	4.8074	5.6439	5.7279	6.5699	5.4919	5.6724	5.1699	4.9069	5.7279
SYNTH0207	6.3923	5.0875	5.1293	5.6724	4.5236	6.7279	5.8826	6.0000	5.8329	6.0661	5.9069	6.0661	5.9542	6.2668	5.8826	6.9189	6.0444	5.3576	6.3576
SYNTH0208	5.7279	6.8580	6.9425	6.7682	6.9658	6.1699	6.9307	6.3399	5.5546	6.2288	4.4594	3.8074	5.7004	3.7004	5.1699	4.7549	6.0224	4.3923	4.8580
SYNTH0209	3.3219	4.4594	4.0000	4.3923	3.4594	5.0000	3.1699	4.5850	3.9069	4.1699	3.9069	5.4263	4.3219	4.4594	5.1699	3.5850	3.4594	5.5236	5.0444
SYNTH0210	8.0661	8.2143	8.8673	9.0875	9.1824	9.4553	9.1948	9.5736	8.8978	8.1997	7.6073	9.0000	9.0168	9.2644	9.3015	9.4305	8.4998	8.8826	8.0875
SYNTH0211	6.4919	7.3129	7.2946	6.2668	7.1799	7.2668	6.6147	6.8704	7.8704	7.2574	7.4512	7.5392	6.9425	6.5699	7.2288	6.4757	5.4263	6.6439	6.9069
SYNTH0212	0.0000	4.2479	4.5850	1.0000	3.9069	4.8074	4.3219	3.1699	2.3219	3.7004	2.3219	3.0000	3.7004	4.0875	3.4594	3.4594	2.5850	3.8074	3.7004
SYNTH0213	3.9069	4.0875	5.0444	3.1699	3.9069	3.5850	4.8074	3.7004	4.2479	4.0875	4.6439	4.0875	2.3219	3.7004	5.1699	5.0000	3.8074	4.6439	4.4594
SYNTH0214	5.4919	6.0224	5.6439	4.8580	6.6147	5.8329	5.9542	5.7814	6.5999	4.8074	6.3923	6.1085	6.1293	5.9307	6.3399	6.9887	6.0224	6.2479	6.0444
SYNTH0215	7.7004	5.6439	5.7814	7.1799	6.6439	7.7879	8.4471	6.7279	8.3309	7.8948	6.0661	7.9484	8.1137	7.9129	6.9189	7.6221	8.7582	7.4346	NA
SYNTH0216	6.3399	6.8580	NA	6.6865	7.8642	6.4094	6.4094	7.5925	8.1849	8.2761	6.2288	8.3487	7.8704	7.6653	6.8202	7.7004	6.1898	6.8826	6.8948
SYNTH0217	8.8918	9.0980	9.9744	8.4919	9.0954	8.7142	8.6257	7.8138	10.0362	8.5925	9.3880	8.9278	9.5850	9.8611	8.5699	9.5622	8.0000	8.1137	8.4388
SYNTH0218	4.8074	5.3923	3.3219	4.0875	5.2095	2.3219	5.2095	4.8580	4.2479	5.4594	4.3923	2.8074	4.7004	4.4594	4.7004	4.9069	4.8580	5.5546	5.3923
SYNTH0219	7.1799	6.3219	7.4094	6.2479	6.0875	7.7279	6.9887	5.2854	6.0444	6.7549	7.4919	6.5999	6.2095	6.2668	6.3923	5.8074	5.2854	5.9069	6.8455
SYNTH0220	6.7415	5.4263	6.3399	6.7415	6.1898	6.4594	5.2095	6.8329	5.9307	6.1293	7.3837	5.3219	5.8826	6.7549	6.8580	5.1699	7.0224	7.4009	6.3219
SYNTH0221	4.4594	3.4594	1.5850	3.1699	2.5850	3.4594	1.0000	2.8074	3.9069	0.0000	3.8074	3.0000	3.0000	3.0000	1.5850	1.5850	2.0000	2.3219	3.1699
SYNTH0222	7.5078	7.5999	7.4594	7.8948	7.2574	7.6147	8.4717	7.3750	7.8074	7.0000	6.9542	7.3923	8.1599	8.1599	7.6073	7.5925	7.6294	8.4221	7.1189
SYNTH0223	5.2854	5.0444	4.7004	4.2479	4.4594	3.5850	3.5850	3.3219	4.5236	4.3923	2.5850	5.0444	4.7549	3.9069	4.1699	NA	3.8074	3.7004	NA
SYNTH0224	3.4594	4.0875	3.5850	4.0875	3.4594	2.8074	4.0000	4.0875	4.6439	3.7004	4.4594	3.8074	4.5236	3.5850	4.2479	4.3219	4.3219	3.3219	3.5850
SYNTH0225	3.7004	4.9069	4.0000	4.9542	4.5236	4.4594	5.7004	5.2095	5.2854	3.0000	4.2479	4.5850	5.8580	4.3923	4.7549	5.0444	5.5236	4.9069	5.7004
SYNTH0226	8.3707	9.3707	8.1344	9.6018	8.2432	8.4959	9.2854	9.4242	8.0928	9.0715	9.8978	8.9009	9.2574	9.2784	8.8041	8.7748	8.8297	8.5699	9.0795
SYNTH0227	3.9069	4.0875	3.7004	2.5850	3.4594	4.0875	5.0000	3.4594	5.0444	3.9069	5.2854	3.3219	3.3219	3.8074	4.1699	4.9542	4.3923	4.0875	3.8074
SYNTH0228	3.8074	5.7004	4.0875	4.1699	5.2479	3.3219	4.9069	4.7549	4.9069	4.3923	4.6439	4.7004	3.3219	4.8580	5.3219	4.3923	5.3923	4.6439	4.9542
SYNTH0229	6.0444	5.8074	5.0875	3.4594	6.3750	4.9069	5.6724	5.7279	5.9307	5.9542	6.3750	5.6724	6.7142	5.3576	5.8329	4.9069	5.3923	6.4094	7.1085
SYNTH0230	6.0661	6.7682	5.7814	6.5236	5.9773	5.2854	5.8074	4.8580	5.7279	6.8074	5.2854	5.5546	5.8826	6.0000	6.2668	6.1293	6.4429	5.9307	5.9307
SYNTH0231	6.6147	7.2574	7.6439	7.7211	6.0444	7.6147	7.8202	7.8329	8.1548	6.4919	7.1699	7.6511	7.1599	7.1898	7.1599	7.0112	7.4346	8.6184	7.7549
SYNTH0232	7.9425	8.4959	8.1948	6.9773	7.9069	8.1997	6.7549	6.8074	6.5546	7.6366	6.7415	7.9715	6.5236	7.6724	8.0279	7.2479	7.5925	7.8329	8.3750
SYNTH0233	5.7279	3.0000	5.1293	5.9307	5.0000	3.4594	5.7279	2.8074	5.3923	5.4594	4.5850	4.7004	5.3923	5.5236	5.5236	5.0000	5.5236	5.8826	5.8826
SYNTH0234	4.4594	5.3219	3.7004	3.8074	4.8580	5.7549	4.9069	6.3576	4.5850	5.0000	4.6439	4.1699	3.1699	5.2095	5.2854	4.1699	4.7549	4.9069	3.4594
SYNTH0235	6.8948	5.9773	5.1699	5.8580	7.2574	6.1898	5.5850	6.6582	6.4594	6.0661	7.3219	7.4429	7.5999	6.7549	5.5236	5.8826	5.7549	6.3219	5.7004
SYNTH0236	7.0661	6.2479	7.2288	6.4594	5.1699	5.9307	5.7004	7.0553	5.7279	6.1699	6.1699	6.8948	6.4757	6.1699	5.3219	7.6653	4.7549	5.6439	6.2854
SYNTH0237	2.0000	4.2479	3.8074	4.2479	3.5850	4.0000	2.8074	2.3219	4.2479	1.5850	3.7004	3.0000	4.5850	3.0000	3.4594	2.5850	3.5850	3.9069	2.3219
SYNTH0238	4.8074	4.6439	5.0000	5.0444	4.6439	5.6147	4.2479	5.6439	3.0000	5.3576	4.2479	3.0000	3.3219	3.5850	4.0000	3.8074	3.8074	3.1699	4.1699
SYNTH0239	3.1699	3.4594	2.8074	3.8074	3.0000	2.3219	4.5850	3.8074	1.5850	4.0875	3.1699	3.1699	3.1699	3.0000	3.5850	2.0000	3.3219	3.1699	3.1699
SYNTH0240	5.2095	5.0875	5.5850	6.3219	6.1898	5.7279	5.4594	5.7549	4.5850	5.5546	5.4263	NA	4.9542	5.0000	4.0000	6.2095	4.5236	4.9069	5.3219
SYNTH0241	7.6073	7.5774	6.5699	7.4094	7.9425	8.0875	7.3487	7.9189	8.1799	7.9944	7.3038	7.3487	6.2095	6.5699	7.8580	6.4094	6.7814	7.3576	4.3923
SYNTH0242	6.2854	6.6294	5.9773	5.9542	5.7279	5.5546	5.2854	5.9069	6.8329	6.9773	6.0224	5.6147	7.0661	6.9307	7.3129	6.4757	5.4594	5.5850	6.7549
SYNTH0243	3.0000	3.1699	4.1699	4.0875	2.8074	3.7004	4.2479	4.3219	2.0000	3.9069	2.0000	3.5850	4.5850	2.5850	3.3219	4.5850	2.0000	3.3219	3.7004
SYNTH0244	7.5622	6.5236	6.1293	7.0768	7.3219	6.4919	5.4263	6.7549	6.2668	7.1997	8.2715	6.8948	6.9887	7.5314	4.7004	6.5078	7.5392	7.5850	5.3576
SYNTH0245	7.5925	8.1396	7.1085	5.8580	7.8580	7.1497	7.8329	6.4429	7.4179	6.0661	7.6147	7.6294	7.9658	7.6582	6.3219	7.7004	7.6147	6.6147	6.6582
SYNTH0246	4.0000	4.0875	3.8074	3.9069	4.0000	3.8074	2.0000	3.1699	NA	3.5850	4.3219	4.4594	4.0000	4.0000	3.9069	3.4594	2.3219	3.0000	4.4594
SYNTH0247	5.6439	5.1699	3.9069	4.0875	5.3923	5.5546	5.3219	5.1699	4.6439	4.0000	4.0875	4.9069	4.9069	3.1699	4.4594	4.3219	5.3219	4.7549	4.2479
SYNTH0248	8.9801	9.0661	7.4346	9.0580	8.0498	9.7056	9.2456	8.4919	8.9099	8.1241	7.2574	8.3576	10.1202	8.2384	7.4346	9.5255	8.8170	8.7846	8.2808
SYNTH0249	5.1293	4.3923	3.1699	5.2479	4.5850	3.5850	4.0000	4.4594	3.1699	5.3923	3.9069	4.8580	5.3219	4.7004	4.3219	4.8074	4.9542	5.1699	4.0875
SYNTH0250	6.1898	7.5469	7.0224	7.1898	7.8642	7.7074	7.8642	6.7682	7.1085	7.7682	7.3576	7.3129	7.1799	7.5999	5.5850	7.5236	6.3576	8.3309	7.0112
SYNTH0251	5.3923	5.0875	4.3923	4.7549	5.4919	5.1699	5.2095	5.0875	5.3576	5.1293	5.3923	4.3923	4.4594	4.7549	4.8580	6.0224	5.5236	4.0875	4.3219
SYNTH0252	7.7347	6.3038	7.6935	7.2479	7.0980	7.4263	8.2668	7.0875	8.6294	6.8704	6.6724	7.2668	6.1085	6.2668	7.4594	7.6935	6.4919	8.3264	7.5078
SYNTH0253	6.4757	6.0444	6.9189	7.5699	5.3923	5.9542	5.9773	6.4594	6.3038	7.0980	6.3750	6.0875	6.7549	5.5546	5.6147	5.9307	6.9069	6.9773	6.6294
SYNTH0254	4.0875	3.1699	5.0444	4.2479	5.0444	4.7004	5.4263	5.8074	5.2479	5.1699	5.5546	5.1699	5.7279	4.3923	NA	5.2854	3.0000	4.0875	5.4263
SYNTH0255	6.9425	8.7879	7.9887	7.9009	7.5999	7.9773	7.6073	7.0112	7.9542	6.6865	7.4009	7.4757	8.3038	8.3619	8.0875	6.9425	8.7142	8.3619	7.0334
SYNTH0256	5.0000	5.2095	5.8074	3.1699	5.0875	4.4594	4.3219	5.7814	4.0000	4.9542	4.8580	5.9307	4.2479	4.9542	5.8826	4.6439	4.9542	4.4594	5.6147
SYNTH0257	8.7381	7.5314	8.6618	7.2946	7.7415	7.5699	8.3354	8.6795	7.8074	7.8580	9.4367	9.4429	8.2621	7.0112	8.5196	7.5157	8.8580	8.5469	8.4757
SYNTH0258	7.0553	7.1997	NA	8.3129	8.2900	8.0928	6.2288	8.5236	8.4717	7.5236	7.5392	8.1799	7.1997	7.6582	6.9658	7.1599	7.6439	8.0553	7.2288
SYNTH0259	7.4429	7.5622	7.4179	7.4094	8.7347	8.0444	7.5925	8.4346	8.9715	8.2288	7.5546	8.4471	8.2336	8.7715	9.1799	8.7515	7.2384	8.1241	8.3837
SYNTH0260	3.9069	5.0444	3.8074	2.0000	4.4594	4.4594	5.3219	4.0000	3.9069	4.1699	4.1699	3.8074	3.9069	3.7004	3.3219	1.0000	4.5850	4.9542	4.1699
SYNTH0261	5.1293	5.3576	4.7004	3.7004	4.8580	3.9069	4.1699	4.7004	5.1699	5.1699	4.7549	4.3923	4.7004	4.9542	4.3923	5.9069	5.4263	2.3219	3.3219
SYNTH0262	5.1293	3.9069	3.1699	4.5236	5.2854	4.8580	4.0000	5.1699	5.4263	4.1699	4.7549	3.4594	3.7004	5.8826	5.3219	5.2479	5.2479	5.3576	4.0000
SYNTH0263	3.9069	3.5850	3.9069	1.0000	3.7004	NA	4.0875	2.8074	2.8074	4.4594	3.5850	4.2479	4.0875	3.1699	3.1699	4.0000	3.1699	3.1699	3.0000
SYNTH0264	8.7549	9.2240	7.9542	8.0000	9.7004	8.3619	8.6366	9.4263	8.8611	9.6847	7.3837	9.6724	8.3219	7.9248	8.0661	7.8265	8.9009	9.7330	8.7004
SYNTH0265	4.9069	5.9773	6.4757	3.5850	4.2479	6.2479	4.6439	4.7549	6.4263	5.6439	5.0875	4.9542	5.6147	4.8580	5.8329	6.0444	4.7004	5.4919	3.4594
SYNTH0266	1.5850	0.0000	3.5850	2.0000	1.5850	1.5850	2.0000	1.5850	2.0000	1.0000	3.0000	2.3219	3.8074	4.0000	3.1699	2.5850	3.4594	3.1699	4.1699
SYNTH0267	5.8074	6.0000	6.2854	7.3038	6.5699	6.1497	6.6294	6.3750	6.1497	4.8580	5.9069	5.3576	5.8826	5.2095	4.2479	5.5236	4.7549	3.1699	4.2479
SYNTH0268	6.1497	4.1699	5.2854	4.2479	3.7004	4.8074	5.0875	4.7549	5.6147	5.8074	3.1699	4.7004	5.7004	4.8074	3.9069	3.4594	5.3219	5.0000	5.2854
SYNTH0269	5.7814	5.3219	7.0875	5.7279	5.8074	6.8329	5.7279	6.7279	5.6147	5.3923	7.5622	7.3219	7.4676	7.4594	6.5236	6.5999	6.8074	8.3794	6.9189
SYNTH0270	5.8580	5.6724	6.0224	5.4263	5.9307	7.1599	5.6147	5.1293	NA	5.0000	6.1497	5.8826	5.0444	4.5236	5.7279	5.5546	5.8329	6.1497	6.3576
SYNTH0271	4.8580	5.0000	6.4429	5.0444	5.4263	5.1293	5.3576	5.7814	5.7549	5.0444	5.7279	3.1699	5.5236	5.7279	5.8580	5.0000	5.1699	4.4594	5.5850
SYNTH0272	3.8074	5.3576	5.2095	3.0000	4.0000	5.7004	5.4594	4.6439	5.1293	5.0444	5.7279	5.6439	4.8074	5.1699	4.6439	3.4594	4.5850	5.7549	5.1699
SYNTH0273	4.1699	2.3219	4.1699	4.0875	3.4594	3.8074	3.9069	4.5236	3.4594	4.0875	4.4594	4.4594	5.1699	3.7004	3.1699	2.8074	4.5850	3.0000	4.5236
SYNTH0274	3.4594	2.8074	3.5850	4.2479	3.5850	3.7004	4.0000	3.5850	4.0875	2.8074	2.5850	2.8074	3.5850	3.9069	4.0000	3.0000	3.0000	3.4594	2.8074
SYNTH0275	8.6511	8.4051	7.9830	6.9189	8.0768	6.8455	8.1948	8.3619	8.5850	8.6257	7.8009	7.6511	8.1997	8.5275	8.1649	7.0980	8.0715	8.1189	8.9715
SYNTH0276	6.8329	6.5236	6.8329	6.4263	7.1293	6.7814	7.5774	6.5850	5.1293	5.4594	6.3219	6.9773	7.3576	7.4512	6.9658	5.9773	7.5925	6.7415	7.4512
SYNTH0277	4.9542	4.0875	4.3219	5.0875	4.4594	4.5850	5.9307	4.0000	4.1699	5.4263	4.9542	4.0875	1.5850	4.2479	4.7549	5.1293	4.9542	4.7004	5.6147
SYNTH0278	7.8392	8.7142	8.5925	8.6294	8.9944	8.2095	8.0715	8.3309	8.8486	8.2808	8.6294	8.0168	9.3421	8.3309	9.0307	8.3309	9.1241	NA	8.2574
SYNTH0279	3.4594	5.3923	5.7279	5.4919	4.3219	4.9069	6.4919	5.3576	5.5546	5.0875	5.6147	3.1699	5.1293	4.1699	4.1699	5.4594	5.3219	3.3219	4.1699
SYNTH0280	7.3923	8.7515	7.3309	7.4838	8.7682	8.0928	8.5850	8.5469	7.5314	7.8074	8.8887	8.2668	7.8009	8.7582	8.5236	8.3923	8.0279	8.8424	8.1344
SYNTH0281	3.9069	3.3219	4.6439	3.5850	4.8580	4.3923	5.3219	3.9069	4.8074	5.3923	2.5850	3.5850	2.8074	2.0000	2.0000	3.9069	4.1699	3.5850	4.5236
SYNTH0282	9.7928	11.1485	10.8424	9.7781	9.7142	8.8170	9.8826	9.9929	10.7846	9.2095	8.9396	8.2046	7.1997	9.9730	9.0821	8.5469	8.3576	7.0768	8.0875
SYNTH0283	7.9248	6.9773	6.6147	7.4429	7.1085	NA	6.0444	6.9773	6.7944	8.1649	7.5999	7.1898	8.1649	6.7279	7.6865	6.8948	7.4838	7.8826	6.6147
SYNTH0284	7.5850	6.2668	6.1293	6.7004	7.0224	6.4429	6.1699	6.3576	6.6865	7.0224	7.4009	7.5850	6.0000	6.2288	6.6865	6.5392	7.7004	6.2854	7.6724
SYNTH0285	4.0000	4.0875	2.5850	4.5236	3.8074	3.4594	3.1699	4.5850	3.3219	3.4594	4.0000	3.1699	4.0875	4.5850	4.3219	4.3219	3.3219	3.0000	4.7004
SYNTH0286	4.2479	3.1699	3.0000	4.7549	4.0875	5.4263	3.9069	4.5236	5.7004	5.0444	4.9542	4.0000	2.3219	4.5850	3.3219	2.5850	4.4594	3.7004	5.1293
SYNTH0287	5.2854	5.1293	5.3923	4.3219	5.3576	4.3923	5.1293	4.8074	5.3219	4.2479	4.3923	4.8074	4.8580	4.1699	5.2479	4.6439	4.9069	5.0000	4.7004
SYNTH0288	3.8074	2.8074	3.1699	3.4594	2.8074	3.4594	0.0000	3.1699	4.4594	3.8074	4.4594	3.8074	3.9069	3.3219	3.4594	3.1699	3.9069	3.7004	4.3923
SYNTH0289	7.4009	5.0875	6.8948	7.3923	6.1293	7.8517	6.7814	6.7415	5.5236	6.3923	5.5850	7.1085	6.2095	6.6294	7.1898	6.3576	7.7074	5.7004	7.1396
SYNTH0290	6.1898	6.9069	4.4594	5.7549	5.7549	6.6865	6.0444	6.1085	6.7944	5.8329	7.2668	6.3750	5.2854	5.4919	6.5699	6.9887	4.6439	5.4919	6.2479
SYNTH0291	7.2574	5.6147	8.1548	7.4757	5.9773	8.2527	8.1749	7.7944	7.7482	7.4838	8.0168	8.3837	8.5507	8.2192	6.4263	6.5850	8.9915	7.6221	7.7482
SYNTH0292	6.5236	6.0444	5.8580	6.5850	6.4263	6.4429	6.1293	4.9069	6.3219	5.7814	6.3219	6.6582	4.5850	5.0000	6.4263	6.0444	5.2479	5.5236	5.6439
SYNTH0293	2.8074	2.8074	2.8074	3.7004	2.5850	3.0000	2.5850	3.9069	2.0000	3.4594	3.0000	4.1699	1.5850	2.3219	4.2479	3.8074	2.5850	3.4594	3.0000
SYNTH0294	NA	7.5774	7.0875	6.7944	7.6724	7.6511	7.3399	6.2479	7.4263	7.2192	6.8074	6.9425	7.3129	NA	5.7549	8.2384	5.8074	6.8329	6.7415
SYNTH0295	7.4094	7.2095	7.2192	7.9715	7.7682	7.1189	6.1699	6.5546	6.8074	8.6511	9.2550	9.3923	8.7482	9.0140	8.1997	8.7211	8.2479	NA	8.6795
SYNTH0296	4.3219	4.0000	2.8074	2.8074	1.0000	4.0000	3.4594	3.9069	4.2479	4.0000	3.9069	4.2479	2.5850	2.8074	3.3219	4.9069	3.3219	4.2479	0.0000
SYNTH0297	9.2192	7.7415	9.5943	8.7515	8.3487	9.0848	8.3707	8.4594	7.4998	8.9159	8.9542	9.7616	8.8455	7.2384	8.5314	8.5430	8.5736	8.5699	8.9129
SYNTH0298	6.5078	6.7682	7.1599	4.5850	7.0661	5.5850	5.8329	5.5546	6.2095	5.5850	4.3923	7.4009	6.9887	5.9542	5.7814	5.9069	5.0875	6.8202	7.3038
SYNTH0299	5.1293	6.6294	5.5850	5.7004	6.1085	5.7549	6.1699	6.0224	6.1699	6.5850	4.9542	5.2854	5.9773	6.0875	6.5999	6.6294	6.0661	6.0224	6.4263
SYNTH0300	3.7004	4.2479	3.9069	4.1699	5.2095	4.2479	4.1699	2.8074	5.2479	3.7004	3.3219	3.8074	4.4594	5.2854	4.1699	4.7004	3.1699	2.5850	1.5850
SYNTH0301	8.0168	9.3443	7.9944	8.5430	9.0715	8.8041	8.9218	7.2761	8.1749	8.9159	9.1774	8.7142	8.3443	8.7814	6.7944	7.8138	8.6147	8.3576	8.1293
SYNTH0302	3.0000	5.3576	4.8074	4.0000	4.8074	5.9307	4.3923	4.8074	5.1293	5.0444	4.3219	4.2479	4.8074	5.0444	5.3219	4.7004	3.8074	5.0444	5.0875
